question_id,date,category,question,option_1,option_2,option_3,option_4,correct_answer
1,2023-01-06,Economía,¿Qué ha sucedido con el mercado de trabajo en España en diciembre de 2022?,Ha confirmado su mejoría y ha cerrado el año con casi medio millón de empleos más,Ha empeorado y ha cerrado el año con casi medio millón de empleos menos.,Ha confirmado su mejoría y ha cerrado el año con casi medio millón de empleos menos.,Ha empeorado y ha cerrado el año con casi medio millón de empleos más.,option_1
2,2023-01-06,Economía,¿Cuál ha sido la afiliación media a la Seguridad Social en diciembre de 2022?,12.640 trabajadores,20.300 trabajadores,12.640 empleados,20.300 empleados,option_1
3,2023-01-06,Economía,¿Cuál ha sido la cifra de parados registrados en diciembre de 2022?,"2,84 millones","2,86 millones","2,88 millones","2,81 millones",option_1
4,2023-01-06,Economía,¿Cuál es el porcentaje de disminución del número de parados en 2022 respecto al año anterior?,"8,40 por ciento","8,60 por ciento","8,80 por ciento","8,20 por ciento",option_2
5,2023-01-06,Economía,¿Cuántos contratos de trabajo se firmaron en España en 2022?,Más de 18 millones,Más de 19 millones,Más de 20 millones,Más de 17 millones,option_1
6,2023-01-06,Economía,¿Cuál es el porcentaje de inflación en España para 2022?,"5,70 por ciento","5,80 por ciento","5,90 por ciento","5,60 por ciento",option_2
7,2023-01-06,Economía,¿Cuál es el porcentaje de inflación previsto para España en 2023 por el Banco de España?,"4,80 por ciento","4,90 por ciento","5,00 por ciento","5,10 por ciento",option_2
8,2023-01-06,Economía,¿Cuánto subieron los precios de la luz y el gas en 2022 en España?,Más de un 20 por ciento,Más de un 30 por ciento,Más de un 40 por ciento,Más de un 50 por ciento,option_2
9,2023-01-06,Economía,¿Qué porcentaje de aumento tuvo el precio del litro de gasolina en España en 2022 respecto a 2021?,88 por ciento,47 por ciento,67 por ciento,89 por ciento,option_1
12,2023-01-06,Economía,¿Cuál es el precio medio del litro de gasolina en España en la actualidad?,"1,57 euros","1,58 euros","1,59 euros","1,56 euros",option_2
13,2023-01-06,Economía,¿Cuál es el precio medio del litro de diésel en España en la actualidad?,"1,65 euros","1,66 euros","1,67 euros","1,64 euros",option_2
14,2023-01-06,Economía,¿Quién ocupa la Secretaría de Estado de Empleo en España?,Joaquín Pérez Rey,Yolanda Díaz,Carlos Sánchez,Teresa González,option_1
15,2023-01-06,Economía,¿Quién es el/la titular del Ministerio de Trabajo en España?,Joaquín Pérez Rey,Yolanda Díaz,Carlos Sánchez,Teresa González,option_2
16,2023-01-06,Economía,¿En qué mes del 2022 el precio de la luz alcanzó su máximo en España?,Enero,Febrero,Marzo,Agosto,option_4
17,2023-01-06,Economía,¿Qué dos países tienen que negociar la continuidad de la excepción ibérica en mayo con la UE?,España y Portugal,Francia y España,España y Andorra,Portugal y Francia,option_1
18,2023-01-06,Economía,¿Cuál ha sido el mayor encarecimiento hipotecario de la historia en España?,"El Euríbor al 3,0 por ciento","El Euríbor al 3,5 por ciento","El Euríbor al 4,0 por ciento","El Euríbor al 4,5 por ciento",option_1
21,2023-01-06,España,¿Qué partido político ha preparado una proposición de ley para fortalecer la independencia judicial y hacer más rigurosos y transparentes los requisitos para acceder a la cúpula judicial?,PSOE,Podemos,Ciudadanos,Partido Popular (PP),option_4
22,2023-01-06,España,¿Cómo propone el PP elegir a los 12 vocales del turno de jueces en su proposición de ley?,Mediante una votación de los ciudadanos,Mediante una votación de los jueces y magistrados en servicio activo,Mediante una votación de los miembros del Congreso de los Diputados,Mediante una votación de los miembros del CGPJ,option_2
23,2023-01-06,España,¿Qué partido político ha rechazado la propuesta del PP y exige que Alberto Núñez Feijóo firme el acuerdo alcanzado en octubre de 2022?,Vox,Ciudadanos,Más País,PSOE,option_4
24,2023-01-06,España,¿Cuánto tiempo lleva el bloqueo de la renovación del CGPJ?,1 año,2 años,3 años,4 años,option_4
25,2023-01-06,España,¿Quiénes componen actualmente el CGPJ?,Miembros nombrados durante la primera legislatura de Pedro Sánchez,Miembros nombrados durante la segunda legislatura de José María Aznar,Miembros nombrados durante la segunda legislatura de Mariano Rajoy,Miembros nombrados durante la primera legislatura de Mariano Rajoy,option_4
26,2023-01-06,España,¿Qué partido político apoyará el nuevo paquete anticrisis por la guerra de Ucrania si se incluyen más medidas propuestas por el mismo partido?,ERC,Unidas Podemos,Ciudadanos,Partido Popular (PP),option_4
27,2023-01-06,España,¿Qué productos tienen reducido el IVA a la mitad en el paquete de ayudas por la guerra de Ucrania?,Alimentos de primera necesidad,Aceite y pasta,Carne y pescado,Combustible,option_2
28,2023-01-06,España,¿Cuánto dinero ofrece el plan de ayudas a familias con ingresos inferiores a 27.000 euros?,50 euros,100 euros,150 euros,200 euros,option_4
29,2023-01-06,España,¿Cuántas de sus propuestas ha exigido al menos el PP al Gobierno para apoyar el decreto de ayudas por la guerra de Ucrania?,1,2,3,4,option_1
30,2023-01-06,España,¿Cuáles son las propuestas exigidas por el PP al Gobierno para apoyar el decreto de ayudas por la guerra de Ucrania?,Bonificación del combustible para autónomos y familias con rentas bajas,Reducción del IVA para la carne y el pescado,Deflactación del IRPF,Todas las anteriores,option_4
31,2023-01-06,España,"¿Cuándo entró en vigor la Ley de Garantías de Libertad Sexual o ""Ley del sí es sí""?",enero de 2022,mayo de 2022,agosto de 2022,noviembre de 2022,option_4
32,2023-01-06,España,¿Qué cambios incluyó la Ley de Garantías de Libertad Sexual en el Código Penal?,La eliminación de la distinción entre agresión y abuso sexual,La eliminación de la distinción entre delito sexual y abuso,La eliminación de la distinción entre tráfico de personas y prostitución,La eliminación de la distinción entre asesinato machista y homicidio machista,option_1
33,2023-01-06,España,¿Qué ha defendido el Ministerio de Igualdad dirigido por Irene Montero en relación a las rebajas de penas?,Que las rebajas de penas son debidas a una interpretación correcta de la ley por parte de algunos tribunales,Que las rebajas de penas son debidas a una interpretación errónea de la ley por parte de algunos tribunales,Que las rebajas de penas son debidas a una aplicación correcta de la ley por parte de algunos jueces,Que las rebajas de penas son debidas a una aplicación incorrecta de la ley por parte de algunos jueces,option_2
34,2023-01-06,España,"¿Qué ha defendido el presidente del Gobierno, Pedro Sánchez, en relación a la Ley de Garantías de Libertad Sexual?",Que la ley es correcta y confía en que los fiscales y jueces la apliquen correctamente sin rebajar penas,Que la ley es incorrecta y confía en que los fiscales y jueces la apliquen correctamente rebajando penas,Que la ley es correcta y confía en que los fiscales y jueces la apliquen incorrectamente sin rebajar penas,Que la ley es incorrecta y confía en que los fiscales y jueces la apliquen incorrectamente rebajando penas,option_1
35,2023-01-06,España,¿Qué está considerando el Gobierno en relación a la Ley de Garantías de Libertad Sexual?,Introducir más cambios en la ley,Eliminar la ley completamente,No hacer ningún cambio en la ley,Aumentar las penas establecidas por la ley,option_1
36,2023-01-06,España,¿Cuál es el motivo por el que el PP pidió la comparecencia de Nadia Calviño en el Congreso en enero de 2023?,Por el contrato de su marido en Patrimonio Nacional,Para explicar la situación económica de España ante la crisis provocada por la guerra de Ucrania,Por su negativa a aprobar la ley de los whistleblowers,Por unas fotos que se hizo en su timo viaje oficial a Nueva York,option_1
37,2023-01-06,España,¿Quiénes han convocado una manifestación para el 21 de enero en la plaza de Cibeles de Madrid?,El Gobierno de Pedro Sánchez,Foro Libertad y Alternativa,Unidas Podemos,El PP y Vox,option_2
38,2023-01-06,España,¿Para qué prohíbe el proyecto de ley sobre el secreto profesional de los periodistas incautar los móviles y ordenadores de los informadores?,Para conocer sus fuentes,Para proteger a las empresas o instituciones de posibles denuncias,Para garantizar la seguridad nacional,Para proteger a los denunciantes de posibles represalias,option_1
39,2023-01-06,España,"¿Quién ha sido denunciado por cantar el ""Cara al Sol"" en público?",Un edil del PP,Un edil del PNV,Un edil del PSOE,Un edil de Ciudadanos,option_1
40,2023-01-06,España,¿Qué ha pedido la Fundación Foro Libertad y Alternativa al Gobierno de Pedro Sánchez?,Que permita la manifestación del 21 de enero en la plaza de Colón,Que aprobara la ley de los whistleblowers,Que comparezca Nadia Calviño en el Congreso,Que dimitiera Pedro Sánchez,option_1
41,2023-01-06,España,¿Qué pretende proteger la ley de los whistleblowers?,A los denunciantes de posibles represalias por parte de las empresas o instituciones en las que trabajan,Al secreto profesional de los periodistas,A los ediles de los partidos políticos,A la seguridad nacional,option_1
42,2023-01-06,España,¿Qué ha pedido el PP a la Mesa del Congreso acerca del proyecto de ley de protección de personas que informan sobre infracciones normativas y lucha contra la corrupción?,Que rechace la admisión a trámite de una enmienda in voce presentada por el PSOE,Que acepte la admisión a trámite de una enmienda in voce presentada por el PSOE,Que rechace la admisión a trámite de una enmienda in voce presentada por Unidas Podemos,Que rechace la admisión a trámite de una enmienda in voce presentada por ERC,option_1
44,2023-01-06,España,¿Por qué los periodistas en España han apelado al artículo 20 de la Constitución durante 40 años?,Para proteger el derecho a comunicar y recibir información veraz y el secreto profesional,Para no revelar sus fuentes a jueces o fiscales,Para proteger a las empresas o instituciones de posibles denuncias,Para proteger a los denunciantes de posibles represalias,option_2
45,2023-01-06,España,¿Cuál de estas opciones no es correcta?,El proyecto de ley sobre el secreto profesional de los periodistas prohíbe incautar los móviles y ordenadores de los informadores para conocer sus fuentes,La Fundación Foro Libertad y Alternativa ha convocado una manifestación para el 21 de enero en la plaza de Cibeles de Madrid,"Un edil del PSOE ha sido denunciado por cantar el ""Cara al Sol"" en público",La ley de los whistleblowers es necesaria para proteger a los denunciantes de posibles represalias por parte de las empresas o instituciones en las que trabajan,option_3
46,2023-01-06,España,¿En cuántas comunidades el PSOE gobierna o cogobierna actualmente?,12,9,6,2,option_2
47,2023-01-06,España,¿Cuántos escaños obtuvo Soria ¡Ya! en las elecciones para las Cortes de Castilla y León en 2020?,0,1,3,4,option_3
48,2023-01-06,España,¿Cuántos escaños aporta Soria al Congreso?,4,1,2,3,option_3
49,2023-01-06,España,¿Quién fue nombrado director de campaña del PP para las próximas elecciones municipales y autonómicas?,Silvia Largo,"Ángel Ceña
",Marifrán Carazo Villalonga,Elías Bendodo,option_4
50,2023-01-06,España,¿Quién será el candidato o la candidata del PP a la alcaldía de Granada en las próximas elecciones municipales?,Silvia Largo,Ángel Ceña,Marifrán Carazo Villalonga,Elías Bendodo,option_3
51,2023-01-06,España,¿Quién es el líder del PSC y ganador de las últimas elecciones autonómicas en Cataluña?,Pere Aragonès,Salvador Illa,Juan Manuel Moreno,Fernando López Miras,option_2
52,2023-01-06,España,¿Cuáles son algunos puntos clave que separan al Gobierno de Cataluña y el PSC en las negociaciones presupuestarias?,Congelar la apertura de delegaciones en el exterior y hacer que el Centro de Estudios de Opinión dependa del Parlamento,Ampliación del aeropuerto de El Prat y impulso del centro recreativo y de juego Hard Rock Café en Tarragona,"Desembolso de 5.000 millones adicionales, de los cuales 3.000 tendrían que ir en las cuentas de este año",Todas las opciones anteriores,option_4
53,2023-01-06,España,¿Qué ha anunciado Pere Aragonès sobre la mesa de diálogo prevista para fin de 2022 en Cataluña?,Que se celebrará finalmente,Que se aplazará hasta después de las elecciones municipales de mayo,Que continúan las negociaciones con el Gobierno de forma discreta,Que el gobierno catalán no tiene información sobre la cumbre hispano-francesa anunciada por Sánchez,option_2
54,2023-01-06,España,¿Quién es el presidente de la Junta de Andalucía?,Pere Aragonès,Salvador Illa,Juan Manuel Moreno,Fernando López Miras,option_3
55,2023-01-06,España,¿Quién es el presidente de la Región de Murcia?,Pere Aragonès,Salvador Illa,Juan Manuel Moreno,Fernando López Miras,option_4
56,2023-01-06,España,"¿Qué cargos políticos tenían Carmelo Ovono Obiang, Nicolás Obama Nchama e Isaac Ngema Endo?",Secretario de Estado de la Presidencia y jefe del servicio secreto en el exterior.,Ministro de Estado y responsable de la seguridad interior.,Director general de la Seguridad Presidencial.,Ninguna de las anteriores.,option_1
57,2023-01-06,España,"¿Por qué están siendo investigados Carmelo Ovono Obiang, Nicolás Obama Nchama e Isaac Ngema Endo?",Por presunto delito de secuestro con finalidad terrorista y torturas a dos ciudadanos españoles.,Por malversación de fondos públicos.,Por el caso ERE.,Por un perjucio para la salud grave.,option_1
58,2023-01-06,España,"¿Quiénes son los responsables principales de los casos de secuestro de opositores al régimen de Obiang en Europa, según la Comisaría General de Información de la Policía?",Carmelo Ovono Obiang y Teodorín Nguema Obiang.,José Antonio Griñán y Agustín Barberá.,Tomás Rodriguez y Nicolás Nguema.,Santiago Pedraz y Feliciano Efa Mangué.,option_1
59,2023-01-06,España,¿Qué altos cargos de la Junta andaluza han solicitado la suspensión de la orden de ingresar en prisión debido a enfermedades graves?,Carmelo Ovono Obiang y Nicolás Obama Nchama.,José Antonio Griñán y Agustín Barberá.,Tomás Rodriguez y Nicolás Nguema.,Santiago Pedraz y Feliciano Efa Mangué.,option_2
60,2023-01-06,España,¿Qué juez está liderando la investigación a la cúpula de seguridad de Guinea Ecuatorial?,José Antonio Griñán.,Agustín Barberá.,Santiago Pedraz.,Feliciano Efa Mangué.,option_3
61,2023-01-06,España,¿Cuántos destructores lanzamisiles estadounidenses se sumarán a los cuatro ya destacados en la base gaditana de Rota?,Dos,Tres,Cuatro,Cinco,option_1
62,2023-01-06,España,¿Cuántos tripulantes tendrán cada uno de los dos nuevos destructores lanzamisiles que Estados Unidos planea desplegar en la base de Rota?,100,200,300,400,option_3
63,2023-01-06,España,¿Cuál es el carácter del convenio de colaboración militar con Estados Unidos para España?,Tratado internacional,Acuerdo comercial,Alianza militar,Protocolo diplomático,option_1
64,2023-01-06,España,¿Cuándo expiró el texto actual del acuerdo de colaboración militar entre España y EE.UU.?,mayo de 2020,mayo de 2021,mayo de 2022,Expirará en mayo de 2023,option_2
66,2023-01-06,España,¿En cuántos debates participaron los candidatos en las primarias de Ciudadanos?,Uno,Dos,Tres,Cuatro,option_2
67,2023-01-06,España,¿Cuántos afiliados participaron en las primarias de Ciudadanos?,7.642,7.642.000,764.200,76.420,option_1
69,2023-01-06,España,¿Cuántas listas participaron en las primarias de Ciudadanos?,Una,Dos,Tres,Cuatro,option_3
71,2023-01-06,Internacional,¿Quién preside la Comisión Europea?,Charles Michel,Ursula von der Leyen,David Sassoli,Roberta Metsola,option_2
72,2023-01-06,Internacional,¿Quién preside el Consejo Europeo?,Charles Michel,Ursula von der Leyen,David Sassoli,Roberta Metsola,option_1
73,2023-01-06,Internacional,¿Quién era el presidente del Parlamento Europeo que falleció en enero de 2022?,Charles Michel,Ursula von der Leyen,David Sassoli,Roberta Metsola,option_3
74,2023-01-06,Internacional,¿Quién preside el Parlamento Europeo?,Charles Michel,Ursula von der Leyen,David Sassoli,Roberta Metsola,option_4
75,2023-01-06,Internacional,¿Quién ocupa el cargo de comisario o comisaria europeo de Agricultura?,Bruno Le Maire,Josep Borrell,Stella Kyriakides,Janusz Wojciechowski,option_4
76,2023-01-06,Internacional,¿Cuáles de estos eurodiputados están implicados en el Qatargate?,Roberta Metsola y Ursula von der Leyen,Marc Tarabella y Andrea Cozzolino,Valdis Dombrovskis y Iratxe García,Pier Antonio Panzeri y Adrián Vázquez,option_2
77,2023-01-06,Internacional,¿Quién es considerado el principal responsable de la trama de sobornos del Qatargate?,Roberta Metsola,Ursula von der Leyen,Valdis Dombrovskis,Pier Antonio Panzeri,option_4
78,2023-01-06,Internacional,"¿Quién es la presidenta del grupo socialista en la Eurocámara que ha reiterado su apoyo a que el caso Qatargate se tramite con ""transparencia y celeridad""?",Roberta Metsola,Ursula von der Leyen,Valdis Dombrovskis,Iratxe García,option_4
79,2023-01-06,Internacional,¿Quién preside el comité de Asuntos Jurídicos del Parlamento Europeo y recibirá el procedimiento para levantar la inmunidad de los eurodiputados implicados en el Qatargate?,Roberta Metsola,Ursula von der Leyen,Valdis Dombrovskis,Adrián Vázquez,option_4
80,2023-01-06,Internacional,¿Cuándo comenzará el procedimiento para levantar la inmunidad de los eurodiputados implicados en el Qatargate?,16 de enero,13 de febrero,15 de enero,10 de febrero,option_1
81,2023-01-06,Internacional,¿Qué porcentaje de inflación se registró en Alemania en diciembre?,"10,40 por ciento","8,60 por ciento","2,50 por ciento","7,80 por ciento",option_2
82,2023-01-06,Internacional,¿Cuál es la razón principal del aumento de los precios de la energía y los alimentos en Alemania?,La guerra en Ucrania,El aumento de los tipos de interés por parte del Banco Central Europeo,La inflación moderada por segundo mes consecutivo,El ruido de la pirotecnia en Berlín durante la noche de Año Nuevo,option_1
83,2023-01-06,Internacional,¿Quién es la ministra de Exteriores de Alemania?,Christiane Hoffmann,Annalena Baerbock,Christine Lambrecht,Marie-Agnes Strack-Zimmermann,option_2
84,2023-01-06,Internacional,¿Quién es la presidenta del Comité de Defensa del Bundestag?,Christiane Hoffmann,Annalena Baerbock,Christine Lambrecht,Marie-Agnes Strack-Zimmermann,option_4
85,2023-01-06,Internacional,¿Quién preside el Grupo Parlamentario de la CDU en el Bundestag?,Karl-Heinz Brunner,Christiane Hoffmann,Annalena Baerbock,Christine Lambrecht,option_1
86,2023-01-06,Internacional,¿Qué país es miembro de la UE desde julio de 2013?,Croacia,Ucrania,Dinamarca,República Checa,option_1
87,2023-01-06,Internacional,¿Cuándo entró Croacia en la zona euro y el espacio Schengen?,1 de enero de 2022,1 de enero de 2021,1 de enero de 2020,1 de enero de 2023,option_4
88,2023-01-06,Internacional,¿Quién ocupa la vicepresidencia de la Comisión europea para Asuntos Económicos?,Ursula von der Leyen,Valdis Dombrovskis,Emmanuel Macron,Angela Merkel,option_2
89,2023-01-06,Internacional,¿Cuáles son algunas de las ventajas de la entrada de Croacia en el espacio Schengen para los ciudadanos croatas?,Viajar sin visado a 26 países de la UE y a cuatro países asociados,Tener acceso a mejores oportunidades laborales,Disfrutar de una mayor seguridad ciudadana,Tener una economía más fuerte,option_1
91,2023-01-06,Internacional,¿Quién fue el primer papa alemán de la historia?,Juan Pablo II,Francisco,Juan XXIII,Benedicto XVI,option_4
93,2023-01-06,Internacional,¿Cuántos años vivió Benedicto XVI?,95,78,69,50,option_1
94,2023-01-06,Internacional,¿Cuál se cree que fue el motivo de la renuncia de Benedicto XVI?,Acoso por parte de Ettore Gotti Tedeschi,Escándalos de pederastia y el caso Vatileaks,Presunto encubrimiento de casos de abusos sexuales,Todas las anteriores,option_4
95,2023-01-06,Internacional,¿Cuál fue la primera vez en siete siglos que un papa renunció voluntariamente?,Celestino V,Benedicto XVI,Juan Pablo II,Francisco,option_1
96,2023-01-06,Internacional,"¿Cuántos votos hacen falta para lograr la mayoría en la Cámara de Representantes de Estados Unidos?
",218 votos,213 votos,222 votos,212 votos,option_1
97,2023-01-06,Internacional,¿Cuántos votos obtuvo en republicano Byron Donalds en la octava votación para la elección del presidente de la Cámara de Representantes de Estados Unidos?,212 votos,5 votos,15 votos,222 votos,option_3
